exp,LV-BP,LV-MYO,RV,mean
3,0.8456,0.5006,0.7617,0.7026
4,0.8448,0.512,0.7984,0.7184
5,0.8808,0.5439,0.7466,0.7238
6,0.8466,0.5374,0.7227,0.7022
7,0.8754,0.5261,0.7916,0.731
8,0.8847,0.5591,0.8193,0.7544
10,0.8878,0.5655,0.8036,0.7523
11,0.8871,0.5835,0.8187,0.7631
12,0.8913,0.579,0.8198,0.7634
13,0.8905,0.5925,0.8165,0.7665
14,0.8945,0.5915,0.8155,0.7672
15,0.8914,0.556,0.765,0.7375
16,0.8956,0.599,0.8368,0.7772
17,0.8585,0.5305,0.7259,0.705
18,0.8815,0.532,0.7862,0.7333
19,0.8877,0.5658,0.812,0.7552
